"#filename","previous_sentence","following_sentence","comment_if_any","pause_content","pause_length_ms","postP23visual","postP23quality","postP23audio"
"cropped_2008-12-13_099-24_099-99.mp4","Leider haben wir auch in diesem Jahr Verletzte zu beklagen und auch Soldaten, die ihr Leben gelassen haben. Wir verneigen uns vor ihnen in großer Ehrfurcht.","Für die Familienangehörigen zu Hause bedeutet die Abwesenheit ihrer Familienangehörigen im Auslandseinsatz","","m","75","Animation","Not at all","Nobody"
"cropped_2008-12-20_041-19_041-79.mp4","Gesunde und gute Festtage. Ich weiß, dass es auch einige geben wird, die wegen Krankheit oder Trauer nicht so fröhlich beisammen sein können wie andere.","Ihnen wünsche ich, dass Ihnen die Botschaft von Jesus Christus und seiner Geburt Kraft und Trost gibt und","","m","60","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-20_051-39_051-09.mp4","Ihnen wünsche ich, dass Ihnen die Botschaft von Jesus Christus und seiner Geburt Kraft und Trost gibt und auch die Möglichkeit, wieder Hoffnung zu schöpfen.","Wir wissen alle, vor uns liegt ein Jahr voller Herausforderungen. Täglich erreichen uns Nachrichten über","","m","-30","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_035-04_035-61.mp4","welch großes Glück es für uns ist, in Frieden und Sicherheit zu leben. Viele andere, zum Beispiel die Menschen im Nahen Osten, gäben viel dafür.","Wir sehen das mit neuer Dramatik wieder in diesen Tagen. Ursache und Wirkung der gegenwärtigen Kämpfe dürfen","","m","57","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_067-14_067-83.mp4","und Palästinensern in zwei Staaten gibt. Was immer die Bundesregierung dazu an Unterstützung geben kann, das wird sie tun.","Gemessen an den Sorgen der Opfer von Kriegen und Gewalt muten unsere Probleme in Deutschland vergleichsweise","","m","69","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_075-54_076-05.mp4","wird sie tun? Gemessen an den Sorgen der Opfer von Kriegen und Gewalt muten unsere Probleme in Deutschland vergleichsweise gering an.","Dennoch ist das kein Grund, in unseren Anstrengungen für unser Land nachzulassen. Vieles von dem, was 2008","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_090-81_091-53.mp4","Vieles von dem, was 2008 wichtig war, bleibt es auch 2009. Das ist im eigenen Leben genauso wie in der Politik.","Deshalb steht für mich auch im kommenden Jahr an erster Stelle, Arbeitsplätze zu erhalten und zu schaffen.","","m","72","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_126-84_127-56.mp4","und unsere Schulen und Universitäten erfolgreicher. Deutschland ist Integrationsland und wird für immer mehr Migrantinnen und Migranten Heimat.","Das alles sind gute Gründe für Zuversicht. Das alles sind Gründe, auf Deutschlands Kraft und Stärken zu","","m","72","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_140-22_140-85.mp4","Das alles sind Gründe, auf Deutschlands Kraft und Stärken zu vertrauen. Vertrauen auf das, was wir können, ist gerade jetzt wichtig.","Denn die weltweite Krise berührt auch Deutschland. Finanzielle Exzesse ohne soziales","","m","63","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_207-54_208-08.mp4","Und das ist die Chance, die in dieser Krise steckt. Die Chance für internationale Regeln, die sich an den Prinzipien der sozialen Marktwirtschaft orientieren.","Ich werde nicht locker lassen, bis wir solche Regeln erreicht haben. Liebe Mitbürgerinnen und Mitbürger,","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_212-67_213-42.mp4","Regeln, die sich an den Prinzipien der sozialen Marktwirtschaft orientieren. Ich werde nicht locker lassen, bis wir solche Regeln erreicht haben.","Liebe Mitbürgerinnen und Mitbürger, diese Krise kann nur weltweit gelöst werden. Aber natürlich leisten wir","","m","75","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_222-99_223-53.mp4","Liebe Mitbürgerinnen und Mitbürger, diese Krise kann nur weltweit gelöst werden. Aber natürlich leisten wir einen wichtigen Beitrag dazu.","Die Bundesregierung handelt umfassend und entschlossen. Aber ich entscheide nicht danach, wer gerade am","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_231-66_232-23.mp4","dazu. Die Bundesregierung handelt umfassend und entschlossen. Aber ich entscheide nicht danach, wer gerade am lautesten ruft.","Denn es ist Ihr Geld, liebe Mitbürgerinnen und Mitbürger, das Geld der Steuerzahler, für das wir in der","","m","57","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_241-32_242-16.mp4","Denn es ist Ihr Geld, liebe Mitbürgerinnen und Mitbürger, das Geld der Steuerzahler, für das wir in der Politik Verantwortung tragen.","Deshalb ist unser Maßstab für alle weiteren Entscheidungen so einfach wie eindeutig. Wir machen das, was","","m","84","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_262-95_263-79.mp4","in kleinen oder in mittleren oder in großen Unternehmen. Arbeit für die Menschen, das ist der Maßstab unseres Handelns.","Deshalb müssen wir zuallererst sicherstellen, dass unsere Betriebe Zugang zu den notwendigen Krediten haben.","","m","84","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_275-01_275-64.mp4","Wir müssen erst sicherstellen, dass unsere Betriebe Zugang zu den notwendigen Krediten haben. Der Staat muss hier einspringen, wenn die Banken ihre Aufgaben nicht erfüllen.","Darüber hinaus werden wir zusätzliche Mittel in Zukunftsinvestitionen stecken. Wir werden Straßen und","","m","63","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_288-27_289-11.mp4","Investitionen stecken. Wir werden Straßen und Schienen ausbauen, aber vor allem moderne Wege der Kommunikation, insbesondere auf dem Land.","Wir investieren noch mehr in Schulen, Hochschulen und Universitäten. Das ist Politik für die nächste","","m","84","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_298-44_298-98.mp4","Wir investieren noch mehr in Schulen, Hochschulen und Universitäten. Das ist Politik für die nächste Generation.","Und wir werden bei allem, was wir tun, nicht alte Fehler wiederholen und Wirtschaft und Umwelt gegeneinander","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_317-37_318-00.mp4","Wirtschaft und Klimaschutz, Klimaschutz und Wirtschaft, das geht zusammen, wenn man es nur will. Und wir wollen es!","Und wir wollen unseren Fachkräften in den Betrieben eine Brücke bauen, um die schwierige Zeit zu überwinden.","","m","63","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_339-99_340-95.mp4","Und wo immer es im Blick auf die nächste Generation verantwortbar ist, werden wir alle die Steuern und Abgabenzahlen entlasten.","Das alles stärkt unser Land. Wir handeln schnell und wir denken dabei an die kommenden Generationen. Das ist","","m","96","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_353-82_354-57.mp4","Wir handeln schnell und wir denken dabei an die kommenden Generationen. Das ist der Geist, mit dem Deutschland das Jahr 2009 meistern wird.","Meine Devise ist, wir wollen die Auswirkungen der weltweiten Finanzkrise nicht einfach überstehen. Wir wollen","","m","75","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_370-02_370-86.mp4","Wir wollen stärker aus ihr herausgehen, als wir hineingekommen sind. Das geht. Das können wir gemeinsam schaffen.","Ich habe die wichtigsten Gruppen aus der Wissenschaft, der Wirtschaft, den Banken, den Gewerkschaften, den","","m","84","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_389-43_390-12.mp4","und mit ihnen beraten. Ich habe dabei einen neuen Geist gespürt. Verantwortung für das Ganze. Verantwortung für unser Land.","In der Krise zeigt sich der Gemeinsinn. Dieser Gemeinsinn kann uns jetzt überall voranbringen. Mitte Januar","","m","69","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_400-74_401-28.mp4","zeigt sich der Gemeinsinn. Dieser Gemeinsinn kann uns jetzt überall voranbringen. Mitte Januar werden wir entscheiden und dann schnell umsetzen.","Ich werde mich im nächsten Jahr regelmäßig mit allen Verantwortlichen treffen und überprüfen, wie wirksam die","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_408-81_409-32.mp4","und dann schnell umsetzen. Ich werde mich im nächsten Jahr regelmäßig mit allen Verantwortlichen treffen und überprüfen, wie wirksam die beschlossenen Maßnahmen sind.","Dazu gehört für mich auch, die führenden Vertreter der Oppositionsparteien im Deutschen Bundestag persönlich","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_417-24_418-35.mp4","Maßnahmen sind. Dazu gehört für mich auch, die führenden Vertreter der Oppositionsparteien im Deutschen Bundestag persönlich zu unterrichten.","Auch wenn das kommende Jahr ein Superwahljahr mit der Europawahl, mit mehreren Landtags- und Kommunalwahlen","","m","111","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_437-64_438-93.mp4","wir uns doch in weiten Teilen über die Grenzen der Parteien hinweg unserem Land verpflichtet. Das jedenfalls spüre ich in vielen Gesprächen.","Liebe Mitbürgerinnen und Mitbürger, wir Deutschen haben schon ganz andere Herausforderungen gemeistert. Im","","m","129","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_448-32_448-89.mp4","Liebe Mitbürgerinnen und Mitbürger, wir Deutschen haben schon ganz andere Herausforderungen gemeistert. Im kommenden Jahr werden wir uns daran erinnern.","Wir haben das zerstörte Deutschland nach dem Krieg aufgebaut und fest in Europa verankert. 2009 feiern wir","","m","57","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_487-44_487-95.mp4","Planwirtschaft zu beseitigen. Auch wenn ohne Zweifel noch viel zu tun bleibt, so sind wir alles in allem doch ein gewaltiges Stück vorangekommen.","Und auch das gelang in einer gemeinschaftlichen Anstrengung. Ich kenne viele Menschen, die sich etwas","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_491-04_491-91.mp4","noch viel zu tun bleibt, so sind wir alles in allem doch ein gewaltiges Stück vorangekommen. Und auch das gelang in einer gemeinschaftlichen Anstrengung.","Ich kenne viele Menschen, die sich etwas zutrauen und anpacken, in Ost genauso wie im Westen. Wir können uns","","m","87","Interviewer","Perfectly clear","Interviewer"
"cropped_2008-12-30_503-88_504-06.mp4","zutrauen und anpacken – in Ost genauso wie im Westen. Wir können uns viel zutrauen und gemeinsam noch mehr erreichen.","Ich bin überzeugt davon, wenn sich auch im kommenden Jahr jeder an seiner Stelle für etwas einsetzt, das für","","m","18","Merkel","Perfectly clear","Merkel"
"cropped_2008-12-30_519-81_520-53.mp4","für etwas einsetzt, das für ihn in diesem Land besonders liebens- oder lebenswert ist, dann wird es uns allen noch besser gehen.","Liebe Mitbürgerinnen und Mitbürger, ich wünsche Ihnen, dass Sie alles in allem mit Dankbarkeit auf das","","m","72","Merkel","Perfectly clear","Merkel"
"cropped_2009-01-24_056-13_056-64.mp4","war zum ersten Mal das allgemeine und geheime und gleiche Wahlrecht in Deutschland Praxis, und Frauen durften genauso wie Männer wählen gehen.","Deutschland war damals eines der ersten Länder, das das Frauenwahlrecht eingeführt hat. In den Vereinigten","","m","51","Merkel","Perfectly clear","Merkel"
"cropped_2009-01-31_170-52_171-06.mp4","eine zukünftige Wirtschaftsarchitektur für ein nachhaltiges Wirtschaften aussehen kann. Wir alle wissen aus den Erfahrungen mit der sozialen Marktwirtschaft in Deutschland.","Märkte brauchen einen Ordnungsrahmen und der Staat muss der Hüter der Ordnung sein. Internationale","","m","54","Merkel","Perfectly clear","Merkel"
"cropped_2009-03-07_032-52_033-09.mp4","Wir stehen stellvertretend dafür, dass unser Land die Wirtschaftskrise erfasst hat, eine internationale Wirtschaftskrise, die nun auch bei uns konkret sichtbar wird.","Opel, genauso wie Schäffler und Quimanda, sind Beispiele dafür, genauso wie die vielen kleinen und mittleren","","m","57","Merkel","Perfectly clear","Merkel"
"cropped_2009-03-07_044-85_045-42.mp4","und Quimanda sind Beispiele dafür, genauso wie die vielen kleinen und mittleren Unternehmen, die mit Absatzkrisen und Schwierigkeiten zu kämpfen haben.","Bei Opel stehen wir vor einer tiefgreifenden Entscheidung. Wir werden helfen, wenn der Nutzen für alle","","m","57","Merkel","Perfectly clear","Merkel"
